Bulan,#Pengunjung
01-2013,2084
02-2013,1537
03-2013,867
04-2013,2158
05-2013,1810
06-2013,2304
07-2013,2117
08-2013,303
09-2013,4242
10-2013,2493
11-2013,2808
12-2013,2289
01-2014,2544
02-2014,2208
03-2014,443
04-2014,4345
05-2014,2123
06-2014,4714
07-2014,1202
08-2014,6877
09-2014,2990
10-2014,4340
11-2014,2991
12-2014,3029
01-2015,4654
02-2015,3445
03-2015,3691
04-2015,5436
05-2015,5509
06-2015,5260
07-2015,1752
08-2015,8874
09-2015,300
10-2015,588
11-2015,300
12-2015,3019
01-2016,5283
02-2016,4683
03-2016,4753
04-2016,7465
05-2016,13691
06-2016,7903
07-2016,12251
08-2016,8126
09-2016,11360
10-2016,5915
11-2016,5685
12-2016,9887
01-2017,11456
02-2017,7555
03-2017,3663
04-2017,14564
05-2017,11007
06-2017,2386
07-2017,19110
08-2017,16926
09-2017,19420
10-2017,14259
11-2017,11078
12-2017,9451
01-2018,32829
02-2018,11270
03-2018,14279
04-2018,20117
05-2018,30180
06-2018,47398
07-2018,45968
08-2018,38020
09-2018,29859
10-2018,18284
11-2018,22406
12-2018,34096